t (s),V (mV)
0,22.2977
0.974,22.2041
1.909,22.1037
2.853,22.0067
3.852,21.8994
4.852,21.7927
5.852,21.6849
6.852,21.5759
7.851,21.467
8.852,21.3599
9.852,21.2523
10.852,21.1458
11.852,21.0385
12.851,20.9331
13.852,20.8275
14.851,20.7231
15.852,20.6178
16.852,20.5138
17.852,20.4103
18.852,20.3079
19.852,20.2053
20.851,20.1044
21.852,20.0025
22.852,19.902
23.852,19.8025
24.851,19.703
25.852,19.6041
26.851,19.5057
27.852,19.4076
28.852,19.3092
29.852,19.2124
30.851,19.1155
31.852,19.019
32.851,18.9238
33.851,18.829
34.851,18.7348
35.852,18.6408
36.851,18.5474
37.852,18.4534
38.852,18.3608
39.852,18.2692
40.852,18.1776
41.851,18.0876
42.852,17.9968
43.851,17.9073
44.852,17.8175
45.852,17.7285
46.851,17.6403
47.852,17.5531
48.852,17.4647
49.851,17.3794
50.852,17.2932
51.851,17.2075
52.852,17.1213
53.851,17.0369
54.852,16.9524
55.852,16.8674
56.851,16.7845
57.852,16.7019
58.852,16.6176
59.852,16.5332
60.852,16.4552
61.852,16.3746
62.852,16.2926
63.851,16.2136
64.852,16.133
65.852,16.0538
66.851,15.9637
67.851,15.8977
68.851,15.8194
69.852,15.7435
70.852,15.6661
71.851,15.5908
72.851,15.5147
73.851,15.4385
74.852,15.3627
75.852,15.2856
76.851,15.2153
77.852,15.1407
78.852,15.0674
79.852,14.9941
80.851,14.9155
81.851,14.8386
82.852,14.7737
83.851,14.7051
84.852,14.6341
85.852,14.5629
86.851,14.4928
87.852,14.4224
88.852,14.3524
89.851,14.2834
90.852,14.2168
91.852,14.149
92.852,14.0815
93.852,14.012
94.852,13.9441
95.852,13.877
96.852,13.8094
97.851,13.7416
98.852,13.6761
99.852,13.5638
100.851,13.5059
101.852,13.4405
102.852,13.3752
103.851,13.3097
104.852,13.2455
105.852,13.1798
106.852,13.1156
107.851,13.052
108.852,12.9891
109.852,12.9269
110.852,12.8645
111.852,12.8017
112.852,12.7394
113.851,12.6773
114.852,12.6162
115.851,12.5554
116.852,12.4946
117.852,12.435
118.852,12.3744
119.852,12.3157
120.852,12.2561
121.851,12.1971
122.852,12.1384
123.851,12.0805
124.852,12.0232
125.851,11.9646
126.852,11.9072
127.851,11.8506
128.852,11.7942
129.852,11.7374
